epcho,tll_cnn_relu_mult1000,vll_cnn_relu_mult1000,tll_cnn_relu_noba_mult1000,vll_cnn_relu_noba_mult1000,tll_cnn_tanh_mult1000,vll_cnn_tanh_mult1000,tll_cnn_tanh_noba_mult1000,vll_cnn_tanh_noba_mult1000,tll_dnn_relu_mult1000,vll_dnn_relu_mult1000,tll_dnn_relu_noba_mult1000,vll_dnn_relu_noba_mult1000,tll_dnn_tanh_mult1000,vll_dnn_tanh_mult1000,tll_dnn_tanh_noba_mult1000,vll_dnn_tanh_noba_mult1000
0,47.27267384559156,14.624333444742424,9.802415035665035,10.10556416886468,71.82573786966744,43.668025383545505,9.525528414204956,9.74287576372585,76.61794132793383,19.34146106002792,10.183342540967129,10.98828777791031,235.5150146590125,147.04315099985368,12.141820065857422,11.322331855133656
1,13.68365983568853,13.38329580762694,9.802739924540925,10.223209407300718,39.94145248866369,39.48275961222187,9.546795702208914,9.75862934043811,18.303406312160433,16.271036268482284,10.291598684665177,11.05655548012545,114.31000153383901,84.68791734307044,12.109335508167504,11.306682120888464
2,12.883066391241886,12.43539085431445,9.80799109299457,10.102798921927329,38.14881380587336,37.77478575225799,9.521897469136503,9.730261405028642,16.727824800557666,16.08641622888465,10.17037756560791,10.90752189197848,90.02520740332623,68.23022525397039,12.145429872156631,11.32864150549135
3,12.330134864896536,12.15801407553015,9.790521779758555,10.062814344682039,36.819934514501405,40.427300358010875,9.504847870689005,9.797239661096565,16.467029671935787,15.792257678244384,10.14818971030294,10.957144080631195,70.48101329635229,50.83849392230472,12.17338926864848,11.339994342697242
4,12.073436485333067,11.991006367269062,9.812938192138267,10.026180215420263,35.53460114785741,35.28085062580724,9.520067750746685,9.784067214857187,16.088012973928162,15.49846392064806,10.133810266251526,10.986140583671869,47.15772695659149,30.84298346431986,12.148854059858186,11.331217693946055
5,11.940451323865883,12.032722483479207,9.79648145186084,10.002668691618789,34.3682317498831,31.730339231510314,9.523197685578657,9.79309067911198,15.763159600957747,15.287708686364272,10.121380429594748,10.922439065912076,22.181076283055926,16.550087520191745,12.139462858378407,11.334271951308173
6,11.79711552967708,11.77883528233055,9.813183535551351,10.036060601593025,27.3263621474466,25.807222501645164,9.532108576217245,9.758154846607678,15.489048204354702,15.044530327882498,10.117750213060889,10.962842618145288,16.06311130848142,16.072945849549388,12.136698009506349,11.362657476697237
7,11.748042641087405,11.806618151885846,9.803602182787031,10.00989003167037,23.221501690005105,21.02613701455055,9.537441505780142,9.695468245134238,15.24723003122715,14.767494863800465,10.127202288487988,10.95566257173496,15.978747948763832,15.982012294473186,12.138596679564685,11.318436252974694
8,11.668529857190387,11.62195346888996,9.809099179091714,10.032510084490623,20.726096733743624,22.392788992053077,9.522815666822416,9.73728103863616,15.042570235598232,14.599292584124111,10.240734866519848,11.329867456468843,15.912280117552125,15.895453251657948,12.147406720736575,11.32060347064849
9,11.62925538712091,11.845017633130473,9.793934513694577,10.10706796941738,18.13456107441696,16.19817696571831,9.52326285187155,9.715709700098923,14.867902530597584,14.489889670644075,10.283020148504406,10.948147744901718,15.832173547917796,15.78624566055594,12.136719354818906,11.326976060386627
10,11.581824521624272,11.64806142990147,9.804896600995093,10.249793319211852,15.202826317099312,13.716973289246521,9.515716157282792,9.763060197714836,14.697751657466494,14.254326331278971,10.13329506085645,10.942730466805159,15.745465549820613,15.688519549345779,12.101373233411822,11.330488363220807
11,11.528256540787556,11.736748229351736,9.793507047898828,10.071955410943877,12.650757291985133,12.260920878860258,9.519436986245696,9.787770844395123,14.56251090783025,14.163744380517352,10.153939831070602,10.949854799095661,15.666618274765149,15.578686845518888,12.133934155797524,11.284090833918702
12,11.47405316887964,11.91227519584279,9.797233877883803,9.987039761918208,12.048410075235992,12.114352892122923,9.517659955177336,9.712665281709164,14.421799009846103,13.964676163009099,10.113723219312247,10.984064064799778,15.577827347442508,15.480928363338593,12.146347322531284,11.333659651779358
13,11.412807713983762,11.818342346457703,9.79549536902097,10.134974104021826,11.854154467132062,11.883098572011917,9.526049975501072,9.744086993798133,14.268255161662255,13.860339704420298,10.136219030696779,10.996221985307432,15.498101437133887,15.405850860500527,12.08769105329749,11.284139127500595
14,11.41642109535995,11.65297005565897,9.793168384461634,10.15995011755055,11.712898984701642,12.080794711026453,9.52835388166169,10.014368761931696,14.156040296168817,13.727859128266573,10.159818710939538,10.932447388768196,15.425236148369168,15.329790887452901,12.143104085548512,11.310656389762316
15,11.39226682754534,11.4670904173005,9.80900102595408,10.0631600906772,11.577542675959489,11.858200008470204,9.53854702322954,9.731632371943805,14.006505607657374,13.589553009237974,10.279211658804167,11.09620692929433,15.35506170212982,15.254316506006063,12.12300062029352,11.328889237296197
16,11.309195107089417,11.681389243852708,9.80402096249764,10.002698208535872,11.470542150369335,11.596648097639122,9.555821464727483,9.756780620063505,13.93846582035504,13.451645736612619,10.20897767927137,11.01147921215142,15.288004163472403,15.171957262341053,12.164718531552822,11.33042694099488
17,11.278964631680038,11.351351941665333,9.80172626253578,10.01284085214138,11.366244307869383,11.591736031996628,9.535330978612746,9.794537068134355,13.758873105079175,13.373452959762465,10.118396043957722,10.96925716246328,15.209814849039239,15.116939456352302,12.150813344745867,11.357904021297731
18,11.260673185930617,11.29580984613107,9.792925696068954,10.00386608704444,11.29683245333933,11.418646231534021,9.527403226632986,9.862594937364902,13.710826500168732,13.363507891734761,10.092630944845656,10.971231175766837,15.141850558950777,15.035999232843038,12.1283576891367,11.335930020938958
19,11.196720102171025,11.204600289103485,9.788910475289148,10.003972918756546,11.197633519318074,11.826301909862988,9.512257120091348,9.816350220071694,13.598300693106026,13.407173190986919,10.185080877084646,10.937173670578387,15.080517255550912,14.968618810657532,12.127878196958092,11.330122263320991
20,11.158265605298501,11.390171975137728,9.802344566841999,9.996928695228792,11.109001818113029,11.161438790300199,9.524324356818633,9.703772442956124,13.4551162275696,13.116169795994796,10.132186246224709,10.962874358219484,15.025274805544365,14.924519169594973,12.10073017019538,11.303232607221412
21,11.115598251983043,11.515440073825658,9.796196253099028,10.148194588480456,11.06249000651822,11.24790593260719,9.513905142328792,9.878612799389709,13.392452499829233,13.007274858893888,10.113258361666194,10.949248282779608,14.976210148644544,14.872199585360864,12.101979156385266,11.316051556458396
22,11.082317432268493,11.180794362219112,9.791861836528104,10.063020542504328,10.982488143077541,11.153865154952772,9.528002401273097,9.750289316739767,13.304858614930945,13.105886898213816,10.088398988779273,10.976859203149234,14.918287896791535,14.81316175552145,12.103640857423025,11.345122264878404
23,11.057131086295891,11.352726303401493,9.800814576597222,10.057345212947938,10.935424872103237,11.237131777189433,9.528571822410148,9.924805152320092,13.498561344139517,13.028784069202601,10.106688842267518,10.951227313208005,14.871391396398746,14.767426441633893,12.110909142891966,11.31825876091757
24,11.036756437181706,11.181002648006524,9.794324933130655,9.996327571570873,10.872303598350095,11.12087916642908,9.511554148048162,9.88283278720994,13.207574528942427,12.833019162738514,10.118281709090356,10.932069121589583,14.831345866344149,14.70850293915118,12.096217818438046,11.336341650495607
25,11.006182161039643,11.575893664191808,9.79547217983993,10.153438265044842,10.83853259126866,10.897747120789944,9.515736229537476,9.81282603536402,13.107063507871521,12.766101953363227,10.079971721185553,10.985336837268646,14.781445253550286,14.65662163231642,12.160373194473646,11.339225430762577
26,10.937883451040234,11.292321742662498,9.797877367330534,10.061321374509603,10.776877283088623,11.012093569602698,9.510851491452945,9.722387177809592,13.016391372788817,12.745089077901456,10.133529615197931,10.998058102784617,14.72545763657939,14.59051372723714,12.12903272525798,11.344980508569748
27,10.899386173414609,11.469211609613511,9.793192309687935,10.049491369676206,10.71502625070993,11.040584905253302,9.510586451318476,9.817461798628491,12.963622440433792,12.616902034008694,10.15395688028225,10.949637575615798,14.660098503584104,14.512684962321673,12.140309599588715,11.307385659986926
28,10.860593767926817,12.065579874380942,9.797069942578673,10.047597059559438,10.702661493973386,10.816639093982598,9.53318029191465,9.771328840044237,12.881820056317073,12.488985974942484,10.33287396984956,11.01251589434762,14.598761891735899,14.439978471566592,12.110766282515419,11.304172597104502
29,10.816847792856635,10.974179728016738,9.79883186969786,10.161569086654533,10.682470957568336,10.958193050276849,9.52025756780659,9.746254376706577,12.80111491665124,12.47666942917051,10.099902174495641,11.002678333991957,14.538476254881148,14.371103577075464,12.11265386307552,11.32588205678809
