epcho,train_loss_list_cnn_ReLu_mult1000,valid_loss_list_cnn_ReLu_mult1000,train_loss_list_cnn_tanh_mult1000,valid_loss_list_cnn_tanh_mult1000,train_loss_list_dnn_ReLu_mult1000,valid_loss_list_dnn_ReLu_mult1000,train_loss_list_dnn_Tanh_mult1000,valid_loss_list_dnn_Tanh_mult1000
0,57.93724292438598,27.167974340338862,16.7445192421456,15.32888965260598,16.442763769338207,16.215606562552914,16.027096182017797,15.399559881658323
1,19.92221972754886,16.818946317559288,15.094931132250254,14.951930831997625,16.035754796898654,15.92368868389918,15.197195912591152,15.05362430226899
2,16.49272896259302,16.393832261523894,14.912622657814813,14.878267527467782,15.827424505034521,15.756205941039706,14.985025556187235,14.937502392117054
3,16.389927624033824,16.389024924607046,14.859135927362066,14.828774702524948,15.702519355522048,15.720155120136276,14.89904867635379,14.892734482043211
4,16.388979868122167,16.388957598997703,14.757839895244087,14.64469541585253,15.5863709327194,15.569313909978636,14.864696572805125,14.841995352218229
5,16.388941383469973,16.388931792349585,14.53668222342047,14.440918536556342,15.503481924233416,15.487609416126244,14.821792562161722,14.825848892571466
6,16.38892131497062,16.388915208799226,14.353172267757117,14.303971517590744,15.413662039434476,15.515944980565578,14.805924169899475,14.82181782804189
7,16.388909065074497,16.388906286128105,14.209042663776104,14.168548202442548,15.331018599681556,15.419721197817594,14.806773476002196,14.810196589678526
8,16.38890183981388,16.38890087844864,13.939167267733042,13.77890056239501,15.255721548812526,15.251698317907511,14.800345878146828,14.815820396066673
9,16.3888979117356,16.388896942859695,13.51423166512001,13.317626735736285,15.178496228350747,15.227599850585383,14.80277426796214,14.806425153848625
10,16.3888952229172,16.3888948699159,13.134085070041397,13.02039711886356,15.11521987812293,15.148638747632504,14.798499531142653,14.81310363798853
11,16.38889308237741,16.388891895692193,12.899648503310258,12.836617808188162,15.05608143915813,15.152363211757715,14.79770893216013,14.815123932015512
12,16.388891632818886,16.38889102445495,12.728076578388292,12.707878580136645,14.989567315956998,15.070845418038868,14.798682614890557,14.836047009955491
13,16.388891354924247,16.388890153217698,12.5915814010847,12.563406309533503,14.926287262970883,15.004772257300155,14.799870610717804,14.815503971711282
14,16.3888901757497,16.38888973262041,12.478773339441227,12.466778257681478,14.876478591993932,14.955524235002457,14.794208173219475,14.808036747478669
15,16.388889665024415,16.388890724028307,12.352401544640383,12.341043926895626,14.802917766745292,14.914841661530158,14.797125747727772,14.81711867475702
16,16.38888957489642,16.38888925193779,12.23838801360539,12.244429980074205,14.763897333684708,14.866936816683701,14.794312826838464,14.802301407701547
17,16.38888946223644,16.38889006308971,12.156371436562509,12.181240764837112,14.715460534658163,14.777914020082644,14.792923319844467,14.808342071069825
18,16.388889642492416,16.388889942919057,12.095778696088782,12.082671220864981,14.659118140116334,14.777816907172241,14.794282461216131,14.815175785653054
19,16.388889589917756,16.388889312023117,12.010993849065516,12.022183682288855,14.625206341846816,14.664163227163016,14.793092069486457,14.804667582915675
20,16.388889597428424,16.3888898227484,11.945976804371082,11.936240273738099,14.57158391243748,14.723403364299767,14.790826052757762,14.805628422407372
21,16.38888957489642,16.38888967253508,11.86252981349225,11.854448010243715,14.537965860067597,14.679724185336982,14.79306252252671,14.802243665701921
22,16.38888957489642,16.388889612449756,11.775369233932466,11.765355064022925,14.491587501740264,14.615799841140547,14.790931070644048,14.802158930368961
23,16.388889552364425,16.388889612449756,11.695141291936798,11.724703764963534,14.486398638015794,14.562517975366886,14.790265400323175,14.806757185367806
24,16.38888947725777,16.388889582407092,11.63051168118874,11.647568955536812,14.437056976490684,14.627405577489444,14.79241483274006,14.804834139443214
25,16.388889492279098,16.38888952232176,11.579129454349317,11.562567023981002,14.406297047952972,14.516487522351166,14.79081132058655,14.814505834252603
26,16.38888941717244,16.38888952232176,11.542488678148198,11.552693247194252,14.378918804258348,14.605410592330077,14.788529122128121,14.808285981416702
27,16.38888946223644,16.38888952232176,11.523908045473359,11.51612995853347,14.346022433000467,14.56655393685064,14.78652514502286,14.807889688639872
28,16.388889447215103,16.388889492279098,11.496194886163838,11.49513422241134,14.346562280890442,14.532063186409014,14.787802461444612,14.803581916156315
29,16.388889454725767,16.38888946223644,11.466089722460074,11.474483105684481,14.3115020567371,14.543010027057703,14.785354093257938,14.801890544232823
30,16.388889454725767,16.38888943219377,11.456872280236453,11.487782346985995,14.301690532104862,14.51916071856695,14.786956467545561,14.797471538786926
31,16.38888943219377,16.38888943219377,11.4358497911223,11.468085956068771,14.258261199199383,14.492392284615386,14.786665816040289,14.803706938701293
32,16.388889424683104,16.38888943219377,11.422046077167314,11.511947869533492,14.26251941255384,14.454758110185784,14.786432850204648,14.805255653036216
33,16.388889424683104,16.388889372108444,11.403556319794829,11.416095804663437,14.251795972907734,14.424902732454001,14.785779080533933,14.801923966696185
34,16.388889409661772,16.388889402151108,11.37183964883368,11.376747696269904,14.222399275299281,14.372445657969482,14.78376848277666,14.79550021430177
35,16.38888941717244,16.388889402151108,11.36962657103375,11.367548918051103,14.210343721412842,14.438747833933562,14.785309164454379,14.797551166867056
36,16.38888941717244,16.388889402151108,11.344392164309898,11.411842995233114,14.189017876502007,14.472422174989216,14.783074181797284,14.798673155206826
37,16.38888941717244,16.388889402151108,11.335101594487506,11.395376370919326,14.168651083544377,14.367932649028877,14.782525279799538,14.807134821650482
38,16.388889409661772,16.388889402151108,11.312490899956996,11.322678862920693,14.165299535248309,14.393840631049487,14.780226054661457,14.796934616301328
39,16.388889409661772,16.388889402151108,11.291327007535484,11.298760516388763,14.135362126023297,14.317917442249676,14.781618156590529,14.799455646425486
40,16.388889409661772,16.388889402151108,11.264715666672396,11.293093944268843,14.123567800608374,14.398849389005091,14.782697818572483,14.809277839958668
41,16.388889402151108,16.388889402151108,11.262422904462342,11.252443982107986,14.122801615045436,14.41124428604399,14.779351786860534,14.792205555544745
