epcho,tll_cnn_relu_mult1000,vll_cnn_relu_mult1000,tll_cnn_tanh_mult1000,vll_cnn_tanh_mult1000,tll_dnn_relu_mult1000,vll_dnn_relu_mult1000,tll_dnn_tanh_mult1000,vll_dnn_tanh_mult1000
0,59.590127536906834,16.43679077706991,86.80752292275429,42.72184761301163,76.22287798702958,20.806825449389798,224.59260296196706,141.5879019806462
1,16.311972522206844,16.11449326118154,39.40727488107739,38.09598244486317,18.790807529923416,16.32518994231378,115.11715895105753,91.34454364257475
2,16.07091067689321,16.201410773060015,37.47519596870388,37.44771794205712,16.864413110118722,16.176739317034524,88.1463922560215,79.78783607963592
3,15.670424950639566,15.484427252123433,36.14198847583706,36.85904492533977,16.780274597206905,16.11056175803946,68.22281475028684,47.88316624058831
4,14.89730150018248,14.658986470632016,29.458952046209767,28.57036281737589,16.316739571911675,16.00196750293816,46.44794962669332,31.93211846894795
5,13.632039314195994,13.281591356761993,28.13632604515841,28.13098880071794,16.138445709892096,15.738849407963215,22.414355906808087,16.60756923017963
6,12.542242255632676,12.278319171239291,27.28884502674543,27.191185482567356,15.894602830221336,15.491258458144243,16.12325726197131,16.091331298793513
7,12.018371009147696,11.980352607826072,26.78159257066586,27.33631597291077,15.647002664815272,15.262831182729814,16.039603036798297,16.05763908235296
8,11.801540584964377,12.285715705084225,24.715238093068045,20.996514647718396,15.345033235667694,14.94664871584504,16.001578382847292,15.99113243601976
9,11.61887413341432,12.082710666882416,19.962143137930862,19.590437412261963,15.218506570935489,14.742323753213691,15.95607902404041,15.927017396015506
10,11.513204118537328,11.53933844198623,19.40404783724056,20.30732852196501,14.997395728113911,14.585846794709083,15.907753784690174,15.859527873896782
11,11.361180016049934,11.668942282877623,19.07190486728664,19.689664515035766,14.795477058918726,14.471044283240072,15.850312940235579,15.802022670545885
12,11.27674129806579,11.865492114016124,18.79623808687733,18.736605262083394,14.653086023885876,14.353330772850782,15.785932308062911,15.713932248012673
13,11.232350250676035,11.557593566155242,18.503424208310825,18.565211745519793,14.515188184656923,14.236285201003474,15.711993155550333,15.623726506507206
14,11.159174365832682,11.379965626063846,18.2387966422304,18.513994651936716,14.345760562367017,14.056381454030353,15.644720631591495,15.54944101841219
15,11.072667432017624,11.634757622115075,17.784882017651633,16.391899902373552,14.195949045730936,13.89051593780037,15.567284088671927,15.4691195385831
16,11.043855867859337,11.213734971299287,13.194727091749588,11.68607693586138,14.068576702547649,13.801340975107687,15.500810248927483,15.389942473942233
17,11.005851102151697,11.040051993463308,11.28979690463072,11.485797923899467,14.05864775240902,13.702600623571103,15.430410580349065,15.311234285153688
18,10.972561735299326,11.216804490334566,11.10144802218964,11.542918611197702,13.961142075488405,13.942581751654226,15.357872336021355,15.229764304334116
19,10.916344731325102,11.354146345007804,11.005741461450535,11.612414682824765,14.523789680923425,13.898354264036302,15.289406168214496,15.160267376491138
20,10.903024982150283,11.322055808118275,10.949493885310668,11.478986561058028,14.017380071773886,13.57288024718723,15.216575052979733,15.073689662160414
21,10.86156628650403,11.523041213231703,10.934881666945595,11.007156929061297,13.802532388287927,13.433675762386091,15.141214938804268,15.000958070759811
22,10.864103182909949,11.225897172886517,10.846889390039347,10.946204495285787,13.665763225646751,13.265553591472486,15.05142350816318,14.90318132263999
23,10.811990806682697,11.762091394273503,10.829975640761756,11.233470853297941,13.523348227834267,13.196576281540816,14.976314903657522,14.81880183001199
24,10.746505310488564,11.070723780581066,10.779825027941937,11.041465035128978,13.466984014807931,13.13532436747224,14.91094987103415,14.741299959320214
25,10.737849110286803,10.964733878931693,10.753905802454439,11.026019681124918,13.342980010014388,12.936437622674049,14.848199338772364,14.691175577501136
26,10.698630534593136,11.36672331561004,10.732873872433219,11.101275231809385,13.269947270952885,12.847746136568247,14.783525137200712,14.623724344757296
27,10.705959033070794,10.741478793563383,10.740672512310407,11.494421084681827,13.174090714704606,12.750482637315027,14.727431848915595,14.559113405524723
28,10.65841343839683,11.029155489297645,10.697488113486719,11.188165870525182,13.054284751565465,12.646200946502148,14.658617993606436,14.47908457128271
29,10.638939284328972,10.842829056444668,10.67403046369192,10.82678639420098,12.995256017142486,12.734384516314153,14.597067335290053,14.407657282126525
30,10.606395396133584,11.324600391690769,10.638414270004196,10.768612020558889,12.878074228102642,12.633464013737056,14.527386606430573,14.315699452474233
31,10.575599138504796,10.805352350636836,10.630805116717614,10.805756935188848,12.870949313735528,12.509862096199104,14.450598177650281,14.246864995408442
32,10.585427092718742,10.925207121838485,10.619271148536955,11.612431792121741,12.829003442499426,12.484272866840325,14.372853036489218,14.170794207001887
33,10.565932303096258,10.852425374210842,10.612657860732607,10.738728027189932,12.804401659166379,12.435368081975367,14.312238931926268,14.078189123181565
34,10.514365407758422,10.789912614610888,10.574435987960427,10.933746779037097,12.652417081558415,12.333459836701232,14.243709494269664,14.009126191658357
35,10.548853251572337,11.379212441463624,10.574043014897935,11.134287252301169,12.621820243375918,12.310868114112846,14.177630940872815,13.954800899110495
36,10.485617256152533,10.564555759511649,10.55647686664616,11.230711599871997,12.541983971342205,12.269020305886384,14.11616417669481,13.874258395404585
37,10.453895868493182,10.758237958314918,10.553058995414645,10.714541715119154,12.598424710543645,12.306148636965982,14.059127901770895,13.79867970582939
38,10.441031712558,10.62887702738085,10.500415149445256,10.608539420871002,12.50091195857573,12.142608212607524,13.991878878685736,13.708619190560233
39,10.436876094900072,10.615490467077302,10.510834178046112,10.696372317691003,12.390164192765951,12.270969549013722,13.958326101513398,13.701328602168829
40,10.42081176438519,10.553226671031407,10.487961301189516,10.886058451667909,12.466762872082331,12.117365465289163,13.904432341786883,13.597181337254664
41,10.4118911211469,10.604149256382257,10.508148243740921,10.945532831453507,12.383200558683566,12.015623671393241,13.851946809389178,13.559356752422548
42,10.378869179065429,10.995543531833155,10.478169522097996,10.730147226563385,12.320032215587075,12.048385000877802,13.808673014864326,13.503052850043582
43,10.373253855974443,11.209703290895108,10.445698844118706,10.954306460916996,12.278021887816008,12.03397912303767,13.765266326616608,13.475780735813801
44,10.362831567744575,10.526286242830178,10.466303969282777,11.098773564181982,12.222383670779246,11.958286106105774,13.719049244818667,13.39938073989845
45,10.333344866071016,10.766812840536717,10.471264835477115,10.80350972892296,12.195771285933592,11.915011226289694,13.670656405719779,13.360424432903528
46,10.342555961781931,10.483941859415463,10.40589770737795,10.534361891087986,12.15945581920565,12.034094111332971,13.652027543303706,13.24210053069457
47,10.319633390604249,10.683591477572918,10.391850399995041,10.474155521801404,12.133243565087117,11.879650320136738,13.58545096140475,13.163986435580638
48,10.316900811308333,10.551857566761395,10.395988082182743,10.716386650118135,12.058003970812406,11.781983993827335,13.564966382428764,13.200795668507777
49,10.292682969462007,11.006341481040563,10.369098121901192,10.485636731309274,12.06487893397289,11.759118237082035,13.530703614495934,13.156577899691559
50,10.302503660862003,10.603093151603975,10.352657585885495,10.577644957529923,12.062439679979317,11.897279730727595,13.482272347074844,13.050390137059072
51,10.283107080707145,10.773645068008092,10.349348348925911,10.596738046696109,12.012198064175823,11.760081675264143,13.459098889612623,13.060405775303803
52,10.284981784230519,10.929768559552969,10.33846698626275,10.991262917917583,12.011618860396407,11.769805043455094,13.418672317188353,12.96308438383764
53,10.266080386035384,10.433971686589143,10.310646897602465,10.558168584060285,11.931280718154966,11.736001954564163,13.40776266560199,12.933189064384468
54,10.245929596074406,10.563409436614283,10.29536781847597,10.541255435635966,11.938107575500203,11.664038388839653,13.352752009767197,12.838142954053419
55,10.244287715684022,10.58739195427587,10.29720513014904,10.355894739228871,11.891083183488059,11.612200733995246,13.334627973005896,12.894752059852886
56,10.230699606660393,10.43550963062913,10.300729217218054,10.575407289809759,11.907698406327155,11.81721350839061,13.31845573675368,12.884292210782728
57,10.211386646504604,10.485824227573412,10.278317213599239,10.388578062937144,11.895331197358187,11.686961932648574,13.26406323125646,12.763993033478338
58,10.20821875276705,10.354317965046052,10.285553098055384,10.659223752877406,11.887359425365444,11.595876346672735,13.25286966898749,12.785955782859556
59,10.235751438285074,10.373079187927706,10.264085808528526,10.51813763596358,11.809508902050794,11.64964861386726,13.244387693703175,12.70897087130335
60,10.203573030359562,10.475452884190505,10.22950218494741,10.767480839164026,11.781007686119166,11.61110226906115,13.216650507773362,12.68177138521306
61,10.200173883218199,10.40134509845126,10.25979488246864,10.367059975021307,11.763380735271399,11.580867362358877,13.192506022601119,12.683468345072
62,10.195370782316932,10.484935190047949,10.236875687335287,10.348511904838585,11.731825318307646,11.590246381538531,13.1868016492996,12.64795049604389
63,10.191826423960588,10.581166092907228,10.263431396695875,10.512181212224306,11.794087000101085,11.790617294008694,13.11249573219327,12.697789262259198
64,10.159966907644224,10.747466356523574,10.224317305631216,10.427863892888832,11.778515200280854,11.587249490642739,13.105915235956349,12.592704816450995
65,10.187130849508026,10.509017659651658,10.210492584343639,10.630616377438269,11.723771552375007,11.598280435728451,13.10324711695073,12.54221676818786
66,10.176871918262012,10.542867254585989,10.217908405578665,10.915029448487104,11.752109644153425,11.540050453115855,13.099689727589007,12.596567596999867
67,10.167333947104071,10.569213859496577,10.206140363739141,10.469790442936842,11.764136559870694,11.566228608811093,13.084426638670266,12.534195737492654
68,10.163756245146356,10.600733405519877,10.215379958671907,10.421311482787132,11.67893831828429,11.509299037917968,13.062917465914882,12.465043098575647
69,10.164010041813937,10.801692177811939,10.176652835892332,10.516028911356003,11.652951215153498,11.524674077067644,13.048730869477073,12.506964841797467
70,10.162447477811046,10.294588267683022,10.155952573122999,10.582954097058504,11.630660850524663,11.510850516177953,13.048259496328331,12.436788108560346
